Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
FGFR3,fibroblast growth factor receptor 3,2261,4:1793312-1808872,1,Yes,16.3,yes,,"bladder, MM, T-cell lymphoma",,,"L, E",Dom,"oncogene, fusion","Mis, T","IGH, ETV6",yes,"Hypochondroplasia, Thanatophoric dysplasia","2261,ACH,CD333,CEK2,ENSG00000068078.18,FGFR3,JTK4,P22607"
FGFR4,fibroblast growth factor receptor 4,2264,5:177086886-177098144,1,Yes,35.2,yes,,rhabdomyosarcoma,,,M,Dom,oncogene,Mis,,,,"2264,CD334,ENSG00000160867.14,FGFR4,JTK2,P22455"
FH,fumarate hydratase,2271,1:241497603-241519761,1,,43,,yes,,"leiomyomatosis, renal",hereditary leiomyomatosis and renal cell cancer,"E, M",Rec,TSG,"Mis, N, F",,,,"2271,ENSG00000091483.6,FH,P07954"
FHIT,fragile histidine triad gene,2272,3:59751407-61251459,1,Yes,14.2,yes,,pleomorphic salivary gland adenoma,,,E,Dom,"TSG, fusion",T,HMGA2,,,"2272,AP3Aase,ENSG00000189283.9,FHIT,FRA3B,P49789"
FIP1L1,FIP1 like 1 (S. cerevisiae),81608,4:53377645-53459668,1,Yes,12,yes,,idiopathic hypereosinophilic syndrome,,,L,Dom,fusion,T,PDGFRA,,,"81608,DKFZp586K0717,ENSG00000145216.15,FIP1,FIP1L1,Q6UN15"
FLCN,folliculin,201163,17:17212212-17237139,1,,11.2,,yes,,"renal, fibrofolliculomas, trichodiscomas",Birt-Hogg-Dube syndrome,"E, M",Rec,TSG,"Mis. N, F",,,,"201163,BHD,ENSG00000154803.12,FLCN,MGC17998,MGC23445,Q8NFG4"
FLI1,Friend leukemia virus integration 1,2313,11:128693770-128813267,1,,24.3,yes,,Ewing sarcoma,,,M,Dom,"oncogene, fusion",T,EWSR1,,,"2313,ENSG00000151702.16,EWSR2,FLI1,Q01543,SIC-1"
FLT3,fms-related tyrosine kinase 3,2322,13:28003274-28100592,1,Yes,12.2,yes,,"AML, ALL",,,L,Dom,oncogene,"Mis, O",,,,"2322,CD135,ENSG00000122025.14,FLK2,FLT3,P36888,STK1"
FLT4,fms-related tyrosine kinase 4,2324,5:180601506-180649624,1,Yes,35.3,yes,,soft tissue sarcoma,,,M,Dom,oncogene,A,,,,"2324,ENSG00000037280.15,FLT4,P35916,PCL,VEGFR3"
FOXA1,forkhead box A1,3169,14:37589984-37595034,1,Yes,21.1,yes,,"breast, prostate",,,E,Dom,oncogene,"Mis, F",,,,"3169,ENSG00000129514.5,FOXA1,HNF3A,P55317"
FOXL2,forkhead box L2,668,3:138944224-138947140,1,Yes,22.3,yes,,granulosa-cell tumour of the ovary,,,O,Dom,"oncogene, TSG",Mis,,yes,"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III","668,BPES,BPES1,ENSG00000183770.5,FOXL2,P58012"
FOXO1,forkhead box O1,2308,13:40555667-40666597,1,,14.11,yes,,alveolar rhabdomyosarcoma,,,M,Dom,"oncogene, TSG, fusion",T,"PAX3, PAX7",,,"2308,ENSG00000150907.7,FKH1,FKHR,FOXO1,FOXO1A,Q12778"
FOXO3,forkhead box O3,2309,6:108560866-108684768,1,,21,yes,,AL,,,L,Dom,"oncogene, TSG, fusion",T,KMT2A,,,"2309,AF6q21,ENSG00000118689.14,FKHRL1,FOXO2,FOXO3,FOXO3A,O43524"
FOXO4,forkhead box O4,4303,X:71096197-71103535,1,,13.1,yes,,"AL, soft tissue sarcoma",,,"L, M",Dom,"oncogene, TSG, fusion",T,"KMT2A, CIC",,,"4303,AFX1,ENSG00000184481.16,FOXO4,MLLT7,P98177"
FOXP1,forkhead box P1,27086,3:70954715-71583989,1,,13,yes,,ALL,,,L,Dom,"oncogene, fusion",T,PAX5,,,"12CC4,27086,ENSG00000114861.19,FOXP1,HSPC215,Q9H334,QRF1,hFKH1B"
FSTL3,follistatin-like 3 (secreted glycoprotein),10272,19:676365-683399,1,,13.3,yes,,B-CLL,,,L,Dom,"oncogene, fusion",T,CCND1,,,"10272,ENSG00000070404.9,FLRG,FSRP,FSTL3,O95633"
FUBP1,far upstream element (FUSE) binding protein 1,8880,1:77948405-77979086,1,Yes,31.1,yes,,oligodendroglioma,,,O,Rec,oncogene,"F, N",,,,"8880,ENSG00000162613.16,FBP,FUBP,FUBP1,Q96AE4"
FUS,"fusion, derived from t(12;16) malignant liposarcoma",2521,16:31180110-31194871,1,Yes,11.2,yes,,"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma",,,"M, L",Dom,"TSG, fusion",T,"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2",,,"2521,ALS6,ENSG00000089280.18,FUS,FUS1,HNRNPP2,P35637,TLS,hnRNP-P2"
GAS7,growth arrest-specific 7,8522,17:9913850-10198551,1,Yes,13.1,yes,,AML*,,,L,Dom,fusion,T,KMT2A,,,"8522,ENSG00000007237.18,GAS7,KIAA0394,MGC1348,O60861"
GATA1,GATA binding protein 1 (globin transcription factor 1),2623,X:48786554-48794308,1,Yes,11.23,yes,,megakaryoblastic leukaemia of Downs syndrome,,,L,Dom,"oncogene, TSG","Mis, F",,,,"2623,ENSG00000102145.13,ERYF1,GATA-1,GATA1,GF1,NF-E1,NFE1,P15976"
GATA2,GATA binding protein 2,2624,3:128479427-128493185,1,Yes,21.3,yes,,AML (CML blast transformation),,,L,Dom,oncogene,Mis,,,,"2624,ENSG00000179348.11,GATA2,NFE1B,P23769"
GATA3,GATA binding protein 3,2625,10:8054653-8075203,1,Yes,14,yes,,breast,,,E,Rec,"oncogene, TSG","F, N, S",,yes,"HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)","2625,ENSG00000107485.16,GATA3,HDR,P23771"
GNA11,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",2767,19:3094410-3124004,1,Yes,13.3,yes,,"uveal melanoma, primary central nervous system melanocytic neoplasms",,,"E, O",Dom,oncogene,Mis,,,,"2767,ENSG00000088256.8,FBH,FBH2,FHH2,GNA11,HHC2,P29992"
GNAQ,"guanine nucleotide binding protein (G protein), q polypeptide",2776,9:77716087-78031458,1,Yes,21.2,yes,,"uveal melanoma, primary central nervous system melanocytic neoplasms",,,"E, O",Dom,oncogene,Mis,,,,"2776,ENSG00000156052.10,G-ALPHA-q,GAQ,GNAQ,P50148"
GNAS,"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1",2778,20:58852714-58911192,1,Yes,13.32,yes,,"pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia",,,"E, M",Dom,oncogene,Mis,,yes,"McCune-Albright syndrome; pseudohypoparathyroidism, type IA","2778,ENSG00000087460.24,GNAS,GNAS1,GNASXL,GPSA,NESP,NESP55,Q5JWF2,SCG6,SgVI"
GOLGA5,"golgi autoantigen, golgin subfamily a, 5  (PTC5)",9950,14:92794231-92839963,1,,32.12,yes,,"papillary thyroid, Spitzoid tumour",,,E,Dom,fusion,T,RET,,,"9950,ENSG00000066455.12,GOLGA5,GOLIM5,Q8TBA6,golgin-84,ret-II,rfg5"
GOPC,golgi associated PDZ and coiled-coil motif containing,57120,6:117560269-117602364,1,,22.1,yes,,"glioblastoma, cholangiocarcinoma, borderline ovarian",,,"E, O",Dom,fusion,T,ROS1,,,"57120,CAL,ENSG00000047932.13,FIG,GOPC,GOPC1,PIST,Q9HD26,dJ94G16.2"
GPC3,glypican 3,2719,X:133535754-133985646,1,Yes,26.2,,yes,,Wilms tumour,Simpson-Golabi-Behmel syndrome,O,Rec/X,"oncogene, TSG","D, Mis, N, F, S",,,,"2719,DGSX,ENSG00000147257.13,GPC3,OCI-5,P51654,SDYS,SGB,SGBS,SGBS1"
GPHN,gephyrin (GPH),10243,14:66507407-67181803,1,,23.3,yes,,AL,,,L,Dom,fusion,T,KMT2A,,,"10243,ENSG00000171723.15,GPHN,KIAA1385,Q9NQX3"
GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",2903,16:9753404-10182754,1,Yes,13.2,yes,,"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma",,,E,Rec,TSG,"Mis, N, F, O",,yes,Focal epilepsy and speech disorder with or without mental retardation,"2903,ENSG00000183454.16,GRIN2A,GluN2A,NMDAR2A,Q12879"
H3F3A,"H3 histone, family 3A",3020,1:226063977-226072001,1,Yes,42.12,yes,,glioma,,,O,Dom,oncogene,Mis,,,,"3020,ENSG00000163041.9,H3.3A,H3F3,H3F3A,P84243"
H3F3B,"H3 histone, family 3B (H3.3B)",3021,17:75776434-75779779,1,Yes,25.1,yes,,chondroblastoma,,,M,Dom,oncogene,Mis,,,,"3021,ENSG00000132475.10,H3.3B,H3F3B,P84243"
HERPUD1,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",9709,16:56932048-56944863,1,,13,yes,,prostate,,,E,Dom,fusion,T,ERG,,,"9709,ENSG00000051108.14,HERP,HERPUD1,KIAA0025,Mif1,Q15011,SUP"
HEY1,hairy/enhancer-of-split related with YRPW motif 1,23462,8:79764013-79767857,1,Yes,21.13,yes,,mesenchymal chondrosarcoma,,,M,Dom,"oncogene, fusion",T,NCOA2,,,"23462,CHF-2,CHF2,ENSG00000164683.16,HERP2,HESR-1,HESR1,HEY1,HRT-1,Q9Y5J3,bHLHb31"
HIF1A,hypoxia inducible factor 1 alpha subunit,3091,14:61697622-61748259,1,Yes,23.2,yes,,"endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic",,,"E, O",Dom,oncogene,"Mis, F, N",,,,"3091,ENSG00000100644.16,HIF-1alpha,HIF1,HIF1A,MOP1,PASD8,Q16665,bHLHe78"
HIP1,huntingtin interacting protein 1,3092,7:75533300-75738947,1,Yes,11.23,yes,,"CMML, NSCLC",,,"L, E",Dom,"oncogene, fusion",T,"PDGFRB, ALK",,,"3092,ENSG00000127946.16,HIP1,ILWEQ,O00291"
HIST1H3B,"histone cluster 1, H3b",8358,6:26031650-26032060,1,Yes,22.2,yes,,glioma,,,O,Dom,oncogene,Mis,,,,"8358,ENSG00000274267.1,H3/l,H3FL,HIST1H3B,P68431"
HIST1H4I,"histone 1, H4i (H4FM)",8294,6:27138588-27139881,1,,22.1,yes,,NHL,,,L,Dom,fusion,T,BCL6,,,"8294,ENSG00000276180.1,H4/m,H4FM,HIST1H4I,P62805"
HLA-A,"major histocompatibility complex, class I, A",3105,6:29941260-29945884,1,,22.1,yes,,Spitzoid tumour,,,E,Dom,fusion,T,ROS1,yes,Carbamazepine-induced hypersensitivity syndrome,"3105,ENSG00000206503.12,HLA-A,P04439,P13746,P16188"
HLF,hepatic leukemia factor,3131,17:55265012-55325065,1,,22,yes,,ALL,,,L,Dom,"oncogene, fusion",T,TCF3,,,"3131,ENSG00000108924.13,HLF,MGC33822,Q16534"
HMGA1,high mobility group AT-hook 1,3159,6:34236873-34246230,1,,21.31,yes,,"microfollicular thyroid adenoma, various benign mesenchymal tumours",,,"E, M",Dom,"oncogene, fusion",T,?,,,"3159,ENSG00000137309.19,HMGA1,HMGIY,P17096"
HMGA2,high mobility group AT-hook 2 (HMGIC),8091,12:65824460-65915447,1,,14.3,yes,,"lipoma, leiomyoma, pleomorphic salivary gland adenoma",,,M,Dom,"oncogene, fusion",T,"LHFP, RAD51B, LPP, COX6C, ACKR3, NFIB, ALDH2, CCNB1IP1, EBF1, WIF1, FHIT",,,"8091,BABL,ENSG00000149948.13,HMGA2,HMGIC,LIPO"
HNF1A,HNF1 homeobox A,6927,12:120978749-121001269,1,Yes,24.31,yes,yes,"hepatic adenoma, hepatocellular","hepatic adenoma, hepatocellular carcinoma",familial hepatic adenoma,E,Rec,TSG,"Mis, F",,yes,"Maturity-onset diabetes of the young, TYPE III","6927,ENSG00000135100.17,HNF1,HNF1A,LFB1,MODY3,TCF1"
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,3181,7:26189927-26200746,1,Yes,15.2,yes,,prostate,,,E,Dom,"oncogene, fusion",T,ETV1,,,"3181,ENSG00000122566.20,HNRNPA2B1,HNRPA2B1,P22626"
HOOK3,hook homolog 3,84376,8:42896932-43030539,1,,11.21,yes,,papillary thyroid,,,E,Dom,fusion,T,RET,,,"84376,ENSG00000168172.8,HK3,HOOK3,Q86VS8"
HOXA11,homeo box A11,3207,7:27181515-27185216,1,Yes,15.2,yes,,CML,,,L,Dom,"oncogene, TSG, fusion",T,NUP98,,,"3207,ENSG00000005073.5,HOX1,HOX1I,HOXA11,P31270"
HOXA13,homeo box A13,3209,7:27194364-27200106,1,,15.2,yes,,AML,,,L,Dom,"oncogene, fusion",T,NUP98,,,"3209,ENSG00000106031.7,HOX1,HOX1J,HOXA13,P31271"
HOXA9,homeo box A9,3205,7:27162435-27165530,1,,15.2,yes,,AML*,,,L,Dom,"oncogene, TSG, fusion",T,"NUP98, MSI2",,,"3205,ENSG00000078399.17,HOX1,HOX1G,HOXA9,P31269"
HOXC11,homeo box C11,3227,12:53973126-53977643,1,,13.13,yes,,AML,,,L,Dom,"oncogene, fusion",T,NUP98,,,"3227,ENSG00000123388.4,HOX3H,HOXC11,O43248"
HOXC13,homeo box C13,3229,12:53938765-53946544,1,,13.13,yes,,AML,,,L,Dom,"oncogene, fusion",T,NUP98,,,"3229,ENSG00000123364.4,HOX3,HOX3G,HOXC13,P31276"
HOXD11,homeo box D11,3237,2:176107286-176109588,1,,31.1,yes,,AML,,,L,Dom,"oncogene, fusion",T,NUP98,,,"3237,ENSG00000128713.13,HOX4,HOX4F,HOXD11,P31277"
HOXD13,homeo box D13,3239,2:176092891-176095938,1,,31.1,yes,,AML*,,,L,Dom,"oncogene, fusion",T,NUP98,,,"3239,ENSG00000128714.5,HOX4I,HOXD13,P35453,SPD"
HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,3265,11:532243-535550,1,Yes,15.5,yes,yes,"infrequent sarcomas, rare other tumour types","rhabdomyosarcoma, ganglioneuroblastoma, bladder",Costello syndrome,"E, L, M",Dom,oncogene,Mis,,,,"3265,ENSG00000174775.16,HRAS,HRAS1,P01112"
HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",3320,14:102081049-102139686,1,,32.31,yes,,NHL,,,L,Dom,fusion,T,BCL6,,,"3320,ENSG00000080824.18,FLJ31884,HSP90AA1,HSP90N,HSPC1,HSPCA,Hsp89,Hsp90,P07900"
HSP90AB1,"heat shock protein 90kDa alpha (cytosolic), class B member 1",3326,6:44247866-44253883,1,,21.1,yes,,NHL,,,L,Dom,fusion,T,BCL6,,,"3326,ENSG00000096384.19,HSP90AB1,HSPC2,HSPCB,P08238"
IDH1,"isocitrate dehydrogenase 1 (NADP+), soluble",3417,2:208236265-208254322,1,Yes,34,yes,,glioblastoma,,,O,Dom,oncogene,Mis,,,,"3417,ENSG00000138413.13,IDH1,O75874"
IDH2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",3418,15:90083045-90102504,1,Yes,26.1,yes,,glioblastoma,,,O,Dom,oncogene,Mis,,,,"3418,ENSG00000182054.9,IDH2,P48735"
IGH,immunoglobulin heavy locus,3492,14:-,1,Yes,32.33,yes,,"MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS",,,L,Dom,fusion,T,"MYC, FGFR3, PAX5, FCRL4, IRF4, CCND1, BCL9, BCL8, BCL6, BCL2, BCL3, BCL10, BCL11A. LHX4, DDX6, NFKB2, PAFAH1B2, PCSK7, CRLF2",,,
IGK,immunoglobulin kappa locus,50802,2:-,1,,12,yes,,"Burkitt lymphoma, B-NHL",,,L,Dom,fusion,T,"MYC, KDSR",,,
IGL,immunoglobulin lambda locus,3535,22:-,1,,11.2,yes,,Burkitt lymphoma,,,L,Dom,fusion,T,"BCL9, MYC, CCND2",,,
IKBKB,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta",3551,8:42271302-42331608,1,Yes,11.21,yes,,SMZL,,,L,Dom,oncogene,Mis,,yes,Immunodeficiency 15,"3551,ENSG00000104365.13,IKBKB,IKK-beta,IKK2,IKKB,NFKBIKB,O14920"
IKZF1,IKAROS family zinc finger 1,10320,7:50304669-50405101,1,Yes,12.2,yes,,"ALL, DLBCL",,,L,Dom/Rec,"TSG, fusion","D,T",BCL6,,,"10320,ENSG00000185811.18,Hs.54452,IKAROS,IKZF1,LyF-1,PPP1R92,ZNFN1A1,hIk-1"
IKZF3,IKAROS Family Zinc Finger 3,22806,17:39757715-39864188,1,,21.1,yes,,"B-ALL, CLL, breast cancer, colorectal cancer",,,"L, E",,"oncogene, TSG, fusion","D, Mis, F, N, T","NAGLU, VAPB",,,"22806,Aiolos,ENSG00000161405.16,IKZF3,Q9UKT9,ZNFN1A3"
IL2,interleukin 2,3558,4:122451470-122456725,1,,27,yes,,intestinal T-cell lymphoma,,,L,Dom,fusion,T,TNFRSF17,,,"3558,ENSG00000109471.4,IL-2,IL2,P60568,TCGF"
IL21R,interleukin 21 receptor,50615,16:27402162-27452042,1,,12.1,yes,,NHL,,,L,Dom,fusion,T,BCL6,,,"50615,CD360,ENSG00000103522.15,IL21R,Q9HBE5"
IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",3572,5:55935095-55994993,1,Yes,11.2,yes,,hepatocellular carcinoma,,,E,Dom,oncogene,O,,,,"3572,CD130,ENSG00000134352.19,GP130,IL6ST,P40189"
IL7R,interleukin 7 receptor,3575,5:35856849-35879603,1,Yes,13.2,yes,,"ALL, ETP ALL",,,L,Dom,oncogene,"Mis, O",,yes,Severe combined immune deficiency,"3575,CD127,ENSG00000168685.14,IL7R,IL7RA,P16871"
IRF4,interferon regulatory factor 4,3662,6:391739-411447,1,,25.3,yes,,MM,,,L,Dom,"oncogene, TSG, fusion",T,IGH,,,"3662,ENSG00000137265.14,IRF4,LSIRF,MUM1,Q15306"
IRS4,insulin receptor substrate 4,8471,X:108732482-108736409,1,Yes,22.3,yes,,"glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL",,,"E, O, M, L",,"oncogene, TSG","Mis, F, T",TRB,,,"8471,ENSG00000133124.11,IRS-4,IRS4,O14654,PY160"
ITK,IL2-inducible T-cell kinase,3702,5:157180826-157255191,1,,33.3,yes,,peripheral T-cell lymphoma,,,L,Dom,fusion,T,SYK,,,"3702,EMT,ENSG00000113263.12,ITK,LYK,PSCTK2,Q08881"
JAK1,Janus kinase 1,3716,1:64833229-64966504,1,Yes,31.3,yes,,ALL,,,L,Dom,"oncogene, TSG",Mis,,,,"3716,ENSG00000162434.11,JAK1,JAK1A,JAK1B,JTK3,P23458"
JAK2,Janus kinase 2,3717,9:4985245-5128183,1,Yes,24.1,yes,,"ALL, AML, MPN,  CML",,,L,Dom,"oncogene, fusion","T, Mis, O","ETV6, PCM1, BCR",,,"3717,ENSG00000096968.13,JAK2,JTK10,O60674"
JAK3,Janus kinase 3,3718,19:17824786-17848032,1,Yes,13.11,yes,,"acute megakaryocytic leukaemia, ETP ALL",,,L,Dom,oncogene,Mis,,,,"3718,ENSG00000105639.18,JAK-3,JAK3,JAK3_HUMAN,JAKL,L-JAK,LJAK,P52333"
JUN,jun oncogene,3725,1:58780788-58784327,1,,32.1,yes,,sarcoma,,,M,Dom,oncogene,A,,,,"3725,AP-1,ENSG00000177606.6,JUN,P05412,c-Jun"
KAT6A,K(lysine) acetyltransferase 6A,7994,8:41929479-42051987,1,,11.21,yes,,AML,,,L,Dom,"oncogene, fusion","T, A","CREBBP, NCOA2, EP300",,,"7994,ENSG00000083168.9,KAT6A,MOZ,MYST3,Q92794,RUNXBP2,ZC2HC6A,ZNF220"
KAT6B,K(lysine) acetyltransferase 6B,23522,10:74826625-75032622,1,,22.2,yes,,"AML, leiomyoma",,,"L, M",Dom,"TSG, fusion",T,"CREBBP, KANSL1",,"Genitopatellar syndrome, Say-Barber-Biesecker/Young-Simpson syndrome","23522,ENSG00000156650.12,KAT6B,MOZ2,MYST4,Morf,Q8WYB5,ZC2HC6B,qkf,querkopf"
KCNJ5,"potassium inwardly-rectifying channel; subfamily J; member 5",3762,11:128891356-128921035,1,,24.3,yes,,adrenal adenoma,,,E,Dom,oncogene,Mis,,yes,"Familial hyperaldosteronism type III, Long QT syndrome","3762,CIR,ENSG00000120457.11,GIRK4,KATP1,KCNJ5,Kir3.4,LQT13,P48544"
KDM5A,"lysine (K)-specific demethylase 5A, JARID1A",5927,12:280129-389454,1,,13.33,yes,,AML,,,L,Dom,"oncogene, fusion",T,NUP98,,,"5927,ENSG00000073614.12,JARID1A,KDM5A,P29375,RBBP2"
KDM5C,lysine (K)-specific demethylase 5C (JARID1C),8242,X:53192152-53225422,1,Yes,11.22,yes,,clear cell renal carcinoma,,,E,Rec,TSG,"N, F, S, Mis",,yes, X-linked mental retardation syndromic Claes-Jensen-type.,"8242,DXS1272E,ENSG00000126012.11,JARID1C,KDM5C,MRX13,P41229,SMCX,XE169"
KDM6A,"lysine (K)-specific demethylase 6A, UTX",7403,X:44873511-45112602,1,Yes,11.3,yes,,"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types",,,"E, L",Rec,"oncogene, TSG","D, N, F, S",,yes,Kabuki syndrome,"7403,ENSG00000147050.14,KDM6A,O15550,UTX"
KDR,vascular endothelial growth factor receptor 2,3791,4:55078259-55125595,1,Yes,12,yes,yes,"NSCLC, angiosarcoma",melanoma,,E,Dom,oncogene,Mis,,,,"3791,CD309,ENSG00000128052.9,FLK1,KDR,VEGFR,VEGFR2"
KDSR,3-ketodihydrosphingosine reductase,2531,18:63327726-63367510,1,,21.33,yes,,B-NHL,,,L,Dom,fusion,T,IGK,,,"2531,DHSR,ENSG00000119537.16,FVT1,KDSR,Q06136,SDR35C1"
KEAP1,kelch like ECH associated protein 1,9817,19:10486120-10503741,1,Yes,13.2,yes,,"NSCLC, breast carcinoma",,,E,,TSG,"Mis, N, F",,,,"9817,ENSG00000079999.13,INrf2,KEAP1,KIAA0132,KLHL19,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454,Q14145"
KIF5B,kinesin family member 5B,3799,10:32009010-32056431,1,,11.22,yes,,"NSCLC, Spitzoid tumour",,,E,Dom,fusion,T,"RET, ALK",,,"3799,ENSG00000170759.10,KIF5B,KNS,KNS1,P33176"
KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,3815,4:54657918-54740715,1,Yes,12,yes,yes,"GIST, AML, TGCT, mastocytosis, mucosal melanoma","GIST, epithelioma",familial gastrointestinal stromal tumour,"L, M, O, E",Dom,oncogene,"Mis, O",,yes,Piebald trait,"3815,C-Kit,CD117,ENSG00000157404.15,KIT,P10721,PBT,SCFR"
KLF4,Kruppel-like factor 4,9314,9:107484852-107489646,1,Yes,31.2,yes,,meningioma,,,O,Dom,"oncogene, TSG",Mis,,,,"9314,ENSG00000136826.14,EZF,GKLF,KLF4,O43474"
KLF6,Kruppel-like factor 6,1316,10:3775996-3785275,1,,15.2,yes,,"prostate, glioma",,,"E, O",Rec,TSG,"Mis, N",,,,"1316,BCD1,COPEB,CPBP,ENSG00000067082.14,GBF,KLF6,PAC1,Q99612,ST12,Zf9"
KLK2,kallikrein-related peptidase 2,3817,19:50873249-50880567,1,,13.33,yes,,prostate,,,E,Dom,fusion,T,ETV4,,,"3817,ENSG00000167751.12,KLK2,P20151"
KMT2A,lysine (K)-specific methyltransferase 2A,4297,11:118436490-118526832,1,Yes,23.3,yes,,"AML, ALL",,,L,Dom,"oncogene, fusion","T, O","KMT2A, MLLT1, AFF1, MLLT3, MLLT4, FOXO4, MLLT10, MLLT6, ELL, EPS15, MLLT11, CREBBP, SH3GL1, FNBP1, SEPT5, SEPT9, GPHN, GMPS, ABI1, ARHGEF12, GAS7, FOXO3, AFF3, TET1, SEPT6, LPP, RUNX1T1, ARHGAP26, EP300, PICALM, CLP1, PRRC1, DAB2IP, MAPRE1, KIAA1524, SEPT2, SARNP, ZFYVE19, TOP3A, CASC5, EEFSEC, FRYL, SORBS2, ABI2, LASP1, CASP8AP2, AFF4, NRIP3, NCKIPSD, CBL, ACTN4, PDS5A, CT45A2, MYO1F, KIAA0284, BTBD18",,,"4297,ALL-1,CXXC7,ENSG00000118058.20,HRX,HTRX1,KMT2A,MLL,MLL1A,Q03164,TRX1"
KMT2C,lysine (K)-specific methyltransferase 2C,58508,7:152134925-152436005,1,Yes,36.1,yes,,medulloblastoma,,,O,Rec,TSG,N,,,,"58508,ENSG00000055609.17,HALR,KIAA1506,KMT2C,MLL3,Q8NEZ4"
KMT2D,lysine (K)-specific methyltransferase 2D,8085,12:49018975-49055324,1,Yes,13.12,yes,,"medulloblastoma, renal",,,"O, E",Rec,"oncogene, TSG","N, F, Mis",,,,"8085,ALR,CAGL114,ENSG00000167548.14,KMT2D,MLL2,MLL4,O14686,TNRC21"
KNL1,cancer susceptibility candidate 5,57082,15:40594020-40664342,1,Yes,15.1,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"57082,AF15Q14,CASC5,CT29,D40,ENSG00000137812.19,KIAA1570,KNL1,MCPH4,PPP1R55,Q8NG31,Spc7,hKNL-1,hSpc105"
KRAS,v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog,3845,12:25209431-25250803,1,Yes,12.1,yes,,"pancreatic, colorectal, lung, thyroid, AML, other tumour types",,,"L, E, M, O",Dom,oncogene,Mis,,,,"3845,ENSG00000133703.11,KRAS,KRAS1,KRAS2,P01116"
KTN1,kinectin 1 (kinesin receptor),3895,14:55580317-55684579,1,,22.3,yes,,papillary thyroid,,,E,Dom,fusion,T,RET,,,"3895,CG1,ENSG00000126777.17,KIAA0004,KNT,KTN1,Q86UP2"
LASP1,LIM and SH3 protein 1,3927,17:38869859-38921770,1,,12,yes,,AML,,,L,Dom,fusion,T,KMT2A,,,"3927,ENSG00000002834.17,LASP1,Lasp-1,MLN50,Q14847"
LATS1,large tumor suppressor kinase 1,9113,6:149658153-149718256,1,Yes,25.1,yes,,skin basal cell carcinoma,,,E,,TSG,"Mis, N",,,,"9113,ENSG00000131023.12,LATS1,O95835,WARTS"
LATS2,large tumor suppressor kinase 2,26524,13:20973032-21061547,1,Yes,12.11,yes,,malignant mesothelioma,,,E,,TSG,"D, F, N",,,,"26524,ENSG00000150457.8,LATS2,Q9NRM7"
LCK,lymphocyte-specific protein tyrosine kinase,3932,1:32251239-32286165,1,Yes,35.2,yes,,T-ALL,,,L,Dom,"oncogene, fusion",T,TRB,,,"3932,ENSG00000182866.16,LCK,P06239"
LEF1,lymphoid enhancer binding factor 1,51176,4:108047545-108168422,1,Yes,25,yes,,"B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas",,,"L, E",,"oncogene, TSG","Mis, N",,,,"51176,ENSG00000138795.9,LEF1,Q9UJU2,TCF10,TCF1ALPHA,TCF7L3"
LIFR,leukemia inhibitory factor receptor,3977,5:38474963-38595404,1,Yes,13.1,yes,,salivary adenoma,,,E,Dom,fusion,T,PLAG1,,,"3977,CD118,ENSG00000113594.9,LIFR,P42702"
LMNA,lamin A/C,4000,1:156114707-156140089,1,Yes,22,yes,,Spitzoid tumour,,,E,Dom,fusion,T,NTRK1,yes,"Muscular dystrophy, dilated cardiomyopathy,  familial partial lipodystrophy, and others","4000,CMD1A,ENSG00000160789.19,HGPS,LGMD1B,LMN1,LMNA,LMNL1,MADA,P02545,PRO1"
